NUM_CPT,CODE_COMMUNE,CODE_SECTEUR,VILLE,CONSO_1,CONSO_0,PROFIL
ZZ86216185,2,7,ARCACHON,123,110,1 - SEGMENT P
ZZ730069500,2,7,ARCACHON,60,81,1 - SEGMENT P
ZZ97259558,2,7,ARCACHON,98,90,1 - SEGMENT P
05AA050816,2,7,ARCACHON,140,40,1 - SEGMENT P
02AA178129,2,7,ARCACHON,22,23,1 - SEGMENT P
02AA171585,2,8,ARCACHON,107,99,1 - SEGMENT P
ZZ95000877,2,8,ARCACHON,122,138,1 - SEGMENT P
ZZ80012243,2,8,ARCACHON,102,102,1 - SEGMENT P
ZZ82019518,2,8,ARCACHON,138,108,1 - SEGMENT P
ZZ174429465,2,8,ARCACHON,29,40,1 - SEGMENT P
ZZ81115837,2,8,ARCACHON,8,12,1 - SEGMENT P
ZZ82007509,2,8,ARCACHON,37,37,1 - SEGMENT P
ZZ88BA079102,2,8,ARCACHON,18,25,1 - SEGMENT P
ZZ725415740,2,8,ARCACHON,36,0,1 - SEGMENT P
ZZ83076595,2,8,ARCACHON,6,54,1 - SEGMENT P
ZZ8528875,2,8,ARCACHON,35,33,1 - SEGMENT P
ZZ756279670,2,8,ARCACHON,84,88,1 - SEGMENT P
ZZ93PA266349,2,8,ARCACHON,49,50,1 - SEGMENT P
2000060222,2,8,ARCACHON,39,43,1 - SEGMENT P
ZZ90PA205223,2,8,ARCACHON,1,0,1 - SEGMENT P
05XA253622,2,8,ARCACHON,30,49,1 - SEGMENT P
ZZ725653180,2,8,ARCACHON,86,79,1 - SEGMENT P
ZZ91PA217803,2,8,ARCACHON,14,26,1 - SEGMENT P
ZZ88BA027552,2,8,ARCACHON,13,13,1 - SEGMENT P
ZZ88079078,2,8,ARCACHON,24,109,1 - SEGMENT P
ZZ84029471,2,8,ARCACHON,61,59,1 - SEGMENT P
ZZ88BA777019,2,8,ARCACHON,77,77,1 - SEGMENT P
05AA005168,2,8,ARCACHON,111,31,1 - SEGMENT P
04XA304843,2,8,ARCACHON,44,51,1 - SEGMENT P
ZZ88BA628955,2,8,ARCACHON,8,15,1 - SEGMENT P
ZZ97013291,2,8,ARCACHON,1,5,1 - SEGMENT P
ZZ80127475,2,8,ARCACHON,18,27,1 - SEGMENT P
ZZ700617360,2,8,ARCACHON,16,13,1 - SEGMENT P
ZZ725415750,2,8,ARCACHON,69,72,1 - SEGMENT P
ZZ88BA027550,2,8,ARCACHON,100,104,1 - SEGMENT P
ZZ746314090,2,8,ARCACHON,95,100,1 - SEGMENT P
ZZ8709211,2,8,ARCACHON,2,0,1 - SEGMENT P
ZZ845269324,2,8,ARCACHON,108,91,1 - SEGMENT P
ZZ95414058,2,8,ARCACHON,65,107,1 - SEGMENT P
ZZ174429461,2,8,ARCACHON,64,49,1 - SEGMENT P
ZZ97013228,2,8,ARCACHON,109,100,1 - SEGMENT P
ZZ94227994,2,8,ARCACHON,20,3,1 - SEGMENT P
ZZ92PA225494,2,8,ARCACHON,98,110,1 - SEGMENT P
ZZ94227944,2,8,ARCACHON,133,140,1 - SEGMENT P
ZZ97013263,2,8,ARCACHON,29,29,1 - SEGMENT P
ZZ174407300,2,8,ARCACHON,109,67,1 - SEGMENT P
ZZ88BA079099,2,8,ARCACHON,47,44,1 - SEGMENT P
ZZ88079100,2,8,ARCACHON,105,55,1 - SEGMENT P
ZZ97013230,2,8,ARCACHON,27,23,1 - SEGMENT P
04XA664137,2,8,ARCACHON,32,201,1 - SEGMENT P
ZZ94002612,2,8,ARCACHON,25,28,1 - SEGMENT P
ZZ91BD002889,2,8,ARCACHON,0,56,1 - SEGMENT P
ZZ93PB208465,2,8,ARCACHON,70,73,1 - SEGMENT P
ZZ88BA027553,2,8,ARCACHON,99,171,1 - SEGMENT P
ZZ88BE003679,2,9,ARCACHON,28,361,1 - SEGMENT P
ZZ88BA027555,2,9,ARCACHON,16,15,1 - SEGMENT P
ZZ92PA225475,2,9,ARCACHON,24,35,1 - SEGMENT P
ZZ845269467,2,9,ARCACHON,3,6,1 - SEGMENT P
ZZ88BA027554,2,9,ARCACHON,3,3,1 - SEGMENT P
ZZ88BA027610,2,9,ARCACHON,62,70,1 - SEGMENT P
ZZ88652742,2,9,ARCACHON,5,6,1 - SEGMENT P
ZZ88BA027608,2,9,ARCACHON,18,6,1 - SEGMENT P
ZZ88BA027607,2,9,ARCACHON,7,23,1 - SEGMENT P
ZZ94281878,2,9,ARCACHON,36,15,1 - SEGMENT P
ZZ86215926,2,9,ARCACHON,30,13,1 - SEGMENT P
ZZ92PA225561,2,9,ARCACHON,10,14,1 - SEGMENT P
ZZ88BA027603,2,9,ARCACHON,10,17,1 - SEGMENT P
ZZ89068645,2,9,ARCACHON,14,15,1 - SEGMENT P
ZZ96864824,2,9,ARCACHON,2,0,1 - SEGMENT P
ZZ89BA040591,2,9,ARCACHON,10,10,1 - SEGMENT P
ZZ86215890,2,9,ARCACHON,19,15,1 - SEGMENT P
ZZ86215927,2,9,ARCACHON,1,1,1 - SEGMENT P
ZZ86215928,2,9,ARCACHON,28,26,1 - SEGMENT P
ZZ910115041,2,9,ARCACHON,1,10,1 - SEGMENT P
ZZ756240960,2,9,ARCACHON,21,21,1 - SEGMENT P
ZZ94359920,2,9,ARCACHON,16,9,1 - SEGMENT P
ZZ90218003,2,9,ARCACHON,117,125,1 - SEGMENT P
ZZ94227996,2,9,ARCACHON,10,12,1 - SEGMENT P
ZZ91PA216871,2,9,ARCACHON,35,24,1 - SEGMENT P
ZZ88BA027604,2,9,ARCACHON,71,59,1 - SEGMENT P
ZZ756240780,2,9,ARCACHON,9,3,1 - SEGMENT P
ZZ88BA628959,2,9,ARCACHON,20,15,1 - SEGMENT P
ZZ756241370,2,9,ARCACHON,13,15,1 - SEGMENT P
ZZ241242,2,9,ARCACHON,68,73,1 - SEGMENT P
ZZ93PA208562,2,9,ARCACHON,16,15,1 - SEGMENT P
ZZ91PA295720,2,9,ARCACHON,38,33,1 - SEGMENT P
ZZ88BA747870,2,9,ARCACHON,67,60,1 - SEGMENT P
ZZ78053359,2,9,ARCACHON,32,33,1 - SEGMENT P
